systematic_name	common_name	ensembl_transcript	cds_length	gc_content
ENSMUSG00000065947	mt-Nd4l	ENSMUST00000084013	294	0.415
ENSMUSG00000094722		ENSMUST00000180291	1443	0.465
ENSMUSG00000096776	Vmn1r186	ENSMUST00000177783	900	0.4367
ENSMUSG00000094741		ENSMUST00000178291	1221	0.4832
ENSMUSG00000095666		ENSMUST00000178466	1443	0.4664
ENSMUSG00000095041		ENSMUST00000179505	438	0.5731
ENSMUSG00000095250		ENSMUST00000179211	363	0.4848
ENSMUSG00000079800		ENSMUST00000096862	369	0.4986
ENSMUSG00000079222		ENSMUST00000111423	423	0.4965
ENSMUSG00000094836		ENSMUST00000097490	1077	0.4392
ENSMUSG00000096244		ENSMUST00000177979	900	0.4333
ENSMUSG00000079808		ENSMUST00000115924	1338	0.4985
ENSMUSG00000095787		ENSMUST00000179124	369	0.5041
ENSMUSG00000095092		ENSMUST00000177562	363	0.4876
ENSMUSG00000094874		ENSMUST00000178199	363	0.4876
ENSMUSG00000096680		ENSMUST00000177991	1440	0.4722
ENSMUSG00000096100		ENSMUST00000179890	369	0.4986
ENSMUSG00000094337		ENSMUST00000179140	1443	0.4636
ENSMUSG00000096756		ENSMUST00000177719	1443	0.4671
ENSMUSG00000095672		ENSMUST00000178603	363	0.4904
ENSMUSG00000095505		ENSMUST00000178335	834	0.4676
ENSMUSG00000079190		ENSMUST00000111360	789	0.4829
ENSMUSG00000095450		ENSMUST00000179292	369	0.5041
ENSMUSG00000094474		ENSMUST00000177582	1443	0.465
ENSMUSG00000094799		ENSMUST00000115928	363	0.4904
ENSMUSG00000094728		ENSMUST00000180119	369	0.5041
ENSMUSG00000095570		ENSMUST00000179972	1440	0.4729
ENSMUSG00000062783	Csprs	ENSMUST00000078827	888	0.4899
ENSMUSG00000094791		ENSMUST00000179677	834	0.4688
ENSMUSG00000096728		ENSMUST00000178296	1443	0.4823
ENSMUSG00000096550	Gm16367	ENSMUST00000178337	1443	0.4643
ENSMUSG00000094172		ENSMUST00000177843	1443	0.4733
ENSMUSG00000094887		ENSMUST00000179700	1077	0.4383
ENSMUSG00000095763		ENSMUST00000178318	1443	0.465
ENSMUSG00000095523		ENSMUST00000180303	1443	0.465
ENSMUSG00000095475		ENSMUST00000180208	1443	0.483
ENSMUSG00000094855		ENSMUST00000178327	1443	0.474
ENSMUSG00000095634	Gm20816	ENSMUST00000187846	681	0.4626
ENSMUSG00000100032	Gm20817	ENSMUST00000191123	666	0.3634
ENSMUSG00000100535	Gm20870	ENSMUST00000189315	666	0.3649
ENSMUSG00000099782	Gm20903	ENSMUST00000189346	666	0.3634
ENSMUSG00000101157	Gm20905	ENSMUST00000190782	666	0.3634
ENSMUSG00000094575	Gm20738	ENSMUST00000177666	681	0.4611
ENSMUSG00000101146	Gm20814	ENSMUST00000190173	666	0.3634
ENSMUSG00000100902	Gm20850	ENSMUST00000188672	666	0.3634
ENSMUSG00000100892	Gm20897	ENSMUST00000185240	666	0.3634
ENSMUSG00000096898	Gm20867	ENSMUST00000190987	681	0.4611
ENSMUSG00000094739	Gm20806	ENSMUST00000190349	681	0.467
ENSMUSG00000101471	Gm29276	ENSMUST00000190453	666	0.3664
ENSMUSG00000095650	Gm20854	ENSMUST00000181549	681	0.467
ENSMUSG00000100240	Gm20820	ENSMUST00000188754	666	0.3634
ENSMUSG00000102122	Gm20883	ENSMUST00000185245	666	0.3649
ENSMUSG00000099856	Gm20906	ENSMUST00000186493	666	0.3634
ENSMUSG00000094729	Gm20747	ENSMUST00000187856	681	0.464
ENSMUSG00000100045	Gm20929	ENSMUST00000186578	666	0.3634
ENSMUSG00000093950	Gm20823	ENSMUST00000179949	681	0.4611
ENSMUSG00000100856	Gm21627	ENSMUST00000187768	657	0.3653
ENSMUSG00000101766	Gm20908	ENSMUST00000186004	666	0.3649
ENSMUSG00000095785	Gm20924	ENSMUST00000186910	681	0.4611
ENSMUSG00000093993	Gm20736	ENSMUST00000185550	666	0.3619
ENSMUSG00000096666	Gm20852	ENSMUST00000188011	681	0.467
ENSMUSG00000095302	Ssty2	ENSMUST00000190565	681	0.467
ENSMUSG00000096016	Gm20937	ENSMUST00000189422	666	0.3619
