systematic_name	common_name	cds_length	gc_content	status
YAL069W	YAL069W	312	0.4391	Dubious
YAL068W-A	YAL068W-A	252	0.3571	Dubious
YAL068C	PAU8	360	0.4972	Verified
YAL067W-A	YAL067W-A	225	0.4133	Uncharacterized
YAL067C	SEO1	1779	0.3614	Verified
YAL066W	YAL066W	306	0.2876	Dubious
YAL065C	YAL065C	384	0.4453	Uncharacterized
YAL064W-B	YAL064W-B	378	0.455	Uncharacterized
YAL064C-A	TDA8	378	0.4392	Uncharacterized
YAL064W	YAL064W	282	0.3688	Verified
YAL063C-A	YAL063C-A	288	0.2847	Uncharacterized
YAL063C	FLO9	3966	0.4468	Verified
YAL062W	GDH3	1371	0.4872	Verified
YAL061W	BDH2	1251	0.4844	Uncharacterized
YAL060W	BDH1	1146	0.4511	Verified
YAL059C-A	YAL059C-A	420	0.3881	Verified
YAL059W	ECM1	636	0.4041	Verified
YAL058W	CNE1	1506	0.4343	Verified
YAL056C-A	YAL056C-A	348	0.4167	Dubious
YAL056W	GPB2	2640	0.3955	Verified
YAL055W	PEX22	540	0.4259	Verified
YAL054C	ACS1	2139	0.4544	Verified
YAL053W	FLC2	2349	0.4193	Verified
YAL051W	OAF1	3141	0.3734	Verified
YAL049C	AIM2	738	0.4201	Verified
YAL048C	GEM1	1986	0.3998	Verified
YAL047W-A	YAL047W-A	327	0.3578	Dubious
YAL047C	SPC72	1866	0.366	Verified
YAL046C	BOL3	354	0.4831	Verified
YAL045C	YAL045C	306	0.4771	Dubious
YAL044W-A	BOL1	330	0.4727	Verified
YAL044C	GCV3	510	0.4843	Verified
YAL043C	PTA1	2355	0.4603	Verified
YAL042C-A	YAL042C-A	375	0.4827	Verified
YAL042W	ERV46	1245	0.4964	Verified
YAL041W	CDC24	2562	0.3891	Verified
YAL040C	CLN3	1740	0.4109	Verified
YAL039C	CYC3	807	0.5328	Verified
YAL038W	CDC19	1500	0.4627	Verified
YAL037C-B	YAL037C-B	972	0.464	Dubious
YAL037C-A	YAL037C-A	90	0.3222	Uncharacterized
YAL037W	YAL037W	801	0.392	Uncharacterized
YAL036C	RBG1	1107	0.4372	Verified
YAL035W	FUN12	3006	0.4132	Verified
YAL034C-B	YAL034C-B	351	0.3447	Dubious
YAL034W-A	MTW1	867	0.3864	Verified
YAL034C	FUN19	1239	0.4229	Verified
YAL033W	POP5	519	0.4162	Verified
YAL032C	PRP45	1137	0.4529	Verified
YAL031W-A	YAL031W-A	306	0.402	Dubious
YAL031C	GIP4	2280	0.4013	Verified
YAL030W	SNC1	351	0.4245	Verified
YAL029C	MYO4	4413	0.3719	Verified
YAL028W	FRT2	1584	0.4261	Verified
YAL027W	SAW1	783	0.3844	Verified
YAL026C-A	YAL026C-A	435	0.3356	Verified
YAL026C	DRS2	4065	0.3759	Verified
YAL025C	MAK16	918	0.4237	Verified
YAL024C	LTE1	4305	0.3707	Verified
YAL023C	PMT2	2277	0.4458	Verified
YAL022C	FUN26	1551	0.4584	Verified
YAL021C	CCR4	2511	0.4572	Verified
YAL020C	ATS1	999	0.5526	Verified
YAL019W-A	YAL019W-A	567	0.515	Dubious
YAL019W	FUN30	3393	0.4061	Verified
YAL018C	LDS1	975	0.3795	Verified
YAL017W	PSK1	4068	0.3889	Verified
YAL016C-B	YAL016C-B	183	0.2568	Dubious
YAL016C-A	YAL016C-A	312	0.4135	Dubious
YAL016W	TPD3	1905	0.3827	Verified
YAL015C	NTG1	1197	0.4353	Verified
YAL014C	SYN8	765	0.451	Verified
YAL013W	DEP1	1215	0.5152	Verified
YAL012W	CYS3	1182	0.4882	Verified
YAL011W	SWC3	1875	0.4165	Verified
YAL010C	MDM10	1479	0.3671	Verified
YAL009W	SPO7	777	0.4144	Verified
YAL008W	FUN14	594	0.3889	Verified
YAL007C	ERP2	645	0.3721	Verified
YAL005C	SSA1	1926	0.4413	Verified
YAL004W	YAL004W	645	0.4512	Verified
YAL003W	EFB1	618	0.4482	Verified
YAL002W	VPS8	3822	0.3721	Verified
YAL001C	TFC3	3480	0.3716	Verified
YAR002W	NUP60	1617	0.3952	Verified
YAR002C-A	ERP1	657	0.3957	Verified
YAR003W	SWD1	1278	0.4006	Verified
