systematic_name	common_name	ensembl_transcript	refseq_transcript	entrez_id	cds_length	gc_content
ENSG00000281766	RYBP	ENST00000643872.4	NM_012234.7	23429	684	0.4956
ENSG00000292254	SHANK3	ENST00000710353.1	NM_001372044.2	85358	5418	0.6982
ENSG00000293532	MUC2	ENST00000713550.1	NM_002457.5	4583	15390	0.6188
ENSG00000293551	PRAMEF22	ENST00000713586.1	NM_001100631.2	653606	1437	0.531
ENSG00000262191	OR9G9	ENST00000571130.1	NM_001013358.2	504191	915	0.4809
ENSG00000292249	OR4C45	ENST00000710319.1	NM_001005513.1	403257	918	0.4336
ENSG00000291473	MROH5	ENST00000707626.2	NM_207414.3	389690	3954	0.6138
ENSG00000292227	LOC102724250	ENST00000713540.1	NM_001405530.2	102724250	5112	0.4937
ENSG00000292225	NBPF1	ENST00000713538.1	NM_001405666.3	55672	5112	0.4928
ENSG00000293604	ORAI1	ENST00000715685.1	NM_032790.4	84876	903	0.6633
ENSG00000183753	BPY2	ENST00000331070.8	NM_004678.3	9083	318	0.4623
ENSG00000169953	HSFY2	ENST00000304790.3	NM_153716.2	159119	1203	0.394
ENSG00000172468	HSFY1	ENST00000307393.3	NM_033108.3	86614	1203	0.394
ENSG00000176679	TGIF2LY	ENST00000321217.5	NM_139214.3	90655	555	0.5477
ENSG00000182415	CDY2A	ENST00000250838.6	NM_004825.2	9426	1623	0.4325
ENSG00000185894	BPY2C	ENST00000382287.5	NM_001002761.1	442868	318	0.4623
ENSG00000205916	DAZ4	ENST00000682740.1	NM_001388484.1	57135	2169	0.4389
ENSG00000129873	CDY2B	ENST00000382867.4	NM_001001722.2	203611	1623	0.4325
ENSG00000184895	SRY	ENST00000383070.2	NM_003140.3	6736	612	0.5033
ENSG00000129824	RPS4Y1	ENST00000250784.13	NM_001008.4	6192	789	0.4842
ENSG00000154620	TMSB4Y	ENST00000284856.4	NM_004202.3	9087	132	0.4318
ENSG00000129864	VCY	ENST00000250825.5	NM_004679.4	9084	375	0.6613
ENSG00000187191	DAZ3	ENST00000382365.7	NM_020364.4	57054	1314	0.4376
ENSG00000188120	DAZ1	ENST00000405239.6	NM_004081.7	1617	2232	0.4525
ENSG00000099721	AMELY	ENST00000651267.2	NM_001143.2	266	576	0.5885
ENSG00000092377	TBL1Y	ENST00000383032.6	NM_033284.2	90665	1566	0.5077
ENSG00000205944	DAZ2	ENST00000382440.6	NM_001389303.1	57055	1962	0.4251
ENSG00000129862	VCY1B	ENST00000250823.5	NM_181880.2	353513	375	0.6613
ENSG00000280969	RPS4Y2	ENST00000629237.2	NM_001039567.3	140032	789	0.4728
ENSG00000099715	PCDH11Y	ENST00000698851.1	NM_001395587.1	83259	3744	0.4479
ENSG00000172352	CDY1B	ENST00000382407.1	NM_001003894.2	253175	1620	0.4309
ENSG00000183795	BPY2B	ENST00000382392.5	NM_001002760.1	442867	318	0.4623
ENSG00000172288	CDY1	ENST00000306609.5	NM_004680.3	9085	1662	0.4362
ENSG00000242875	RBMY1B	ENST00000383020.7	NM_001006121.4	378948	1488	0.4489
ENSG00000234414	RBMY1A1	ENST00000382707.6	NM_005058.4	5940	1488	0.4496
ENSG00000233803	TSPY4	ENST00000426950.6	NM_001164471.2	728395	942	0.5849
ENSG00000229549	TSPY8	ENST00000287721.13	NM_001243721.2	728403	924	0.5801
ENSG00000228927	TSPY3	ENST00000457222.6	NM_001077697.2	728137	924	0.5823
ENSG00000258992	TSPY1	ENST00000451548.6	NM_003308.4	7258	924	0.5855
ENSG00000238074	TSPY9	ENST00000440215.5	NM_001396063.1	728132	942	0.5849
ENSG00000236424	TSPY10	ENST00000428845.6	NM_001282469.3	100289087	924	0.5823
ENSG00000168757	TSPY2	ENST00000320701.9	NM_022573.4	64591	924	0.5844
ENSG00000262315	OR8U8	ENST00000627176.1	NM_001013356.2	504189	957	0.4284
ENSG00000281038	OR8U9	ENST00000626074.1	NM_001013357.1	504190	927	0.4423
ENSG00000244395	RBMY1D	ENST00000382680.5	NM_001006120.3	378949	1488	0.4503
ENSG00000242389	RBMY1E	ENST00000382659.7	NM_001006118.3	378950	1488	0.4509
ENSG00000169800	RBMY1F	ENST00000303766.12	NM_152585.3	159163	1488	0.4489
ENSG00000226941	RBMY1J	ENST00000250831.6	NM_001006117.4	378951	1488	0.4483
ENSG00000165246	NLGN4Y	ENST00000684976.1	NM_001365588.1	22829	2508	0.5132
ENSG00000281123	FCGBP	ENST00000628705.3	NM_003890.3	8857	16215	0.6359
ENSG00000067048	DDX3Y	ENST00000336079.8	NM_004660.5	8653	1980	0.4409
ENSG00000114374	USP9Y	ENST00000338981.7	NM_004654.4	8287	7665	0.397
ENSG00000288475	CASP8AP2	ENST00000671703.3	NM_001137667.2	9994	5946	0.3727
ENSG00000183878	UTY	ENST00000545955.6	NM_001258249.2	7404	4332	0.4204
ENSG00000012817	KDM5D	ENST00000317961.9	NM_004653.5	8284	4617	0.5283
ENSG00000067646	ZFY	ENST00000155093.8	NM_003411.4	7544	2403	0.4191
ENSG00000198692	EIF1AY	ENST00000361365.7	NM_004681.4	9086	432	0.3796
ENSG00000281879	ABO	ENST00000644422.3	NM_020469.4	28	1062	0.613
ENSG00000284832	POLR2A	ENST00000643490.2	NM_000937.5	5430	5910	0.5628
ENSG00000281500	SLC37A4	ENST00000642844.3	NM_001164277.2	2542	1287	0.5688
ENSG00000154646	TMPRSS15	ENST00000284885.8	NM_002772.3	5651	3057	0.4115
ENSG00000232263	KRTAP25-1	ENST00000416044.1	NM_001128598.1	100131902	306	0.4085
ENSG00000156282	CLDN17	ENST00000286808.5	NM_012131.3	26285	672	0.5208
ENSG00000188694	KRTAP24-1	ENST00000340345.6	NM_001085455.3	643803	762	0.4843
ENSG00000154654	NCAM2	ENST00000400546.6	NM_004540.5	4685	2511	0.4202
ENSG00000156284	CLDN8	ENST00000399899.2	NM_199328.3	9073	675	0.4978
ENSG00000159256	MORC3	ENST00000400485.6	NM_015358.3	23515	2817	0.4004
ENSG00000154645	CHODL	ENST00000299295.7	NM_024944.3	140578	819	0.4799
ENSG00000159228	CBR1	ENST00000290349.11	NM_001757.4	873	831	0.586
ENSG00000159263	SIM2	ENST00000290399.11	NM_005069.6	6493	2001	0.6192
ENSG00000183145	RIPPLY3	ENST00000329553.3	NM_018962.3	53820	570	0.6228
ENSG00000160208	RRP1B	ENST00000340648.6	NM_015056.3	23076	2274	0.5365
ENSG00000160216	AGPAT3	ENST00000291572.13	NM_020132.5	56894	1128	0.5745
ENSG00000274391	TPTE	ENST00000618007.5	NM_199261.4	7179	1653	0.3787
ENSG00000183036	PCP4	ENST00000328619.10	NM_006198.3	5121	186	0.4677
ENSG00000171587	DSCAM	ENST00000400454.6	NM_001389.5	1826	6036	0.5293
ENSG00000183421	RIPK4	ENST00000332512.8	NM_020639.3	54101	2352	0.6382
ENSG00000160181	TFF2	ENST00000291526.5	NM_005423.5	7032	387	0.5943
ENSG00000291738	MUC16	ENST00000711671.1	NM_001401501.2	94025	46047	0.5071
ENSG00000160182	TFF1	ENST00000291527.3	NM_003225.3	7031	252	0.5794
ENSG00000160185	UBASH3A	ENST00000319294.11	NM_018961.4	53347	1983	0.5698
ENSG00000234289	H2BC12L	ENST00000599962.2	NM_017445.3	54145	378	0.619
ENSG00000142182	DNMT3L	ENST00000628202.3	NM_175867.3	29947	1158	0.5717
ENSG00000160226	CFAP410	ENST00000339818.9	NM_004928.3	755	768	0.6667
ENSG00000215455	KRTAP10-1	ENST00000400375.1	NM_198691.3	386677	846	0.6714
ENSG00000205445	KRTAP10-2	ENST00000391621.1	NM_198693.4	386679	765	0.6523
ENSG00000212935	KRTAP10-3	ENST00000391620.2	NM_198696.3	386682	663	0.6863
ENSG00000241123	KRTAP10-5	ENST00000400372.1	NM_198694.3	386680	813	0.6654
ENSG00000188155	KRTAP10-6	ENST00000400368.1	NM_198688.3	386674	1095	0.6603
ENSG00000272804	KRTAP10-7	ENST00000609664.2	NM_198689.3	386675	1110	0.6595
ENSG00000187766	KRTAP10-8	ENST00000334662.2	NM_198695.2	386681	777	0.6538
ENSG00000221859	KRTAP10-10	ENST00000380095.2	NM_181688.3	353333	753	0.6534
ENSG00000243489	KRTAP10-11	ENST00000334670.9	NM_198692.3	386678	894	0.6611
ENSG00000212933	KRTAP12-4	ENST00000391618.1	NM_198698.1	386684	336	0.6607
ENSG00000205439	KRTAP12-3	ENST00000397907.1	NM_198697.2	386683	288	0.6493
ENSG00000221864	KRTAP12-2	ENST00000360770.3	NM_181684.3	353323	438	0.6438
